concertID,name,date,hourStart,room,city,price,genre,artist
1,Manuel Carrasco,16-5-2023,11:00,Sevilla,Noches de la Maestranza,2,Pop,Manuel Carrasco
2,Manuel Carrasco,15-6-2023,03:00,Valencia,Plaza de Toros,69,Pop,Manuel Carrasco
3,Manuel Carrasco,22-9-2023,16:00,Leon,Plaza de Toros,32,Pop,Manuel Carrasco
4,Manuel Carrasco,4-7-2023,13:00,Madrid,WiZink Center,30,Pop,Manuel Carrasco
5,Manuel Carrasco,21-3-2023,04:00,Pontevdra,Sala Karma,35,Pop,Manuel Carrasco
6,Manuel Carrasco,12-11-2023,18:00,Barcelona,Palau Sant Jordi,0,Pop,Manuel Carrasco
7,Manuel Carrasco,16-12-2023,19:00,Leon,Palacio de Congresos,1,Pop,Manuel Carrasco
8,Manuel Carrasco,18-9-2023,02:00,Almendralñejo,Campo de Futbol,12,Pop,Manuel Carrasco
9,Manuel Carrasco,15-6-2023,10:00,Mallorca,Trui Son Fusteret,28,Pop,Manuel Carrasco
10,Manuel Carrasco,29-3-2023,18:00,Madrid,Civitas Metropolitano,16,Pop,Manuel Carrasco
11,Manuel Carrasco,30-6-2023,18:00,Malaga,Palacio de Deportes Martín Carpena,38,Pop,Manuel Carrasco
12,Manuel Carrasco,22-11-2023,16:00,Madrid,Plaza de Toros de Las Ventas,5,Pop,Manuel Carrasco
13,Manuel Carrasco,2-12-2023,19:00,Mallorca,Trui Son Fusteret,61,Pop,Manuel Carrasco
14,Manuel Carrasco,12-9-2023,02:00,Leganes,La cubierta de Leganes,10,Pop,Manuel Carrasco
15,Manuel Carrasco,17-6-2023,00:00,Leon,Plaza de Toros,15,Pop,Manuel Carrasco
16,Manuel Carrasco,8-9-2023,20:00,A Coruña,Coliseum,16,Pop,Manuel Carrasco
17,Manuel Carrasco,1-7-2023,13:00,Madrid,Plaza de Toros de Las Ventas,23,Pop,Manuel Carrasco
18,Manuel Carrasco,23-11-2023,13:00,Malaga,Palacio de Deportes Martín Carpena,39,Pop,Manuel Carrasco
19,Manuel Carrasco,16-5-2023,00:00,Leon,Sala Studio 54,6,Pop,Manuel Carrasco
20,Manuel Carrasco,18-4-2023,00:00,Marbella,Auditorio Marbella Arena,25,Pop,Manuel Carrasco
21,Dani Martin,27-12-2023,03:00,Ponferrada,Auditorio de Ponferrada,7,Pop,Dani Martin
22,Dani Martin,26-11-2023,22:00,Leon,Sala Studio 54,25,Pop,Dani Martin
23,Dani Martin,18-6-2023,11:00,Zaragoza,Auditorio de Zaragoza,22,Pop,Dani Martin
24,Dani Martin,2-6-2023,20:00,Madrid,WiZink Center,22,Pop,Dani Martin
25,Dani Martin,24-3-2023,04:00,Sotogrande, Santa María Polo Club,42,Pop,Dani Martin
26,Dani Martin,30-3-2023,00:00,Santa Cruz de Tenerife,Recinto Ferial,30,Pop,Dani Martin
27,Dani Martin,17-6-2023,20:00,Madrid,Civitas Metropolitano,57,Pop,Dani Martin
28,Dani Martin,28-6-2023,17:00,Sotogrande, Santa María Polo Club,35,Pop,Dani Martin
29,Dani Martin,23-6-2023,03:00,Sotogrande, Santa María Polo Club,65,Pop,Dani Martin
30,Dani Martin,14-11-2023,13:00,Aviles,Pabellon de la Magdalena,32,Pop,Dani Martin
31,Dani Martin,29-8-2023,01:00,Ponferrada,Auditorio de Ponferrada,7,Pop,Dani Martin
32,Dani Martin,6-3-2023,01:00,Murcia,Plaza de Toros,7,Pop,Dani Martin
33,Dani Martin,27-8-2023,04:00,Cadiz,Muelle Ciudad,61,Pop,Dani Martin
34,Dani Martin,25-4-2023,12:00,Mairena del Aljarafe,Centro Hipico,47,Pop,Dani Martin
35,Dani Martin,29-5-2023,00:00,Alicante,Palacio de Toros,26,Pop,Dani Martin
36,Dani Martin,2-9-2023,22:00,Huelva,Estadio Iberoamericano,2,Pop,Dani Martin
37,Dani Martin,6-9-2023,10:00,Cadiz,Muelle Ciudad,7,Pop,Dani Martin
38,Dani Martin,1-8-2023,23:00,Burgos,Coliseum Burgos,50,Pop,Dani Martin
39,Dani Martin,3-4-2023,16:00,Malaga,Palacio de Deportes Martín Carpena,23,Pop,Dani Martin
40,Dani Martin,4-6-2023,20:00,A Coruña,Coliseum,3,Pop,Dani Martin
41,David Bisbal,13-4-2023,02:00,Santiago de Compostela,Sala Capitol,19,Pop,David Bisbal
42,David Bisbal,1-5-2023,22:00,Valencia,Black Note Club,66,Pop,David Bisbal
43,David Bisbal,4-6-2023,23:00,Valencia,Black Note Club,41,Pop,David Bisbal
44,David Bisbal,28-5-2023,20:00,Alicante,Palacio de Toros,18,Pop,David Bisbal
45,David Bisbal,17-12-2023,10:00,Bilbao,Bilbao Miribilla,42,Pop,David Bisbal
46,David Bisbal,28-2-2023,17:00,Cadiz,Muelle Ciudad,62,Pop,David Bisbal
47,David Bisbal,19-7-2023,00:00,Pamplona,Navarra Arena,40,Pop,David Bisbal
48,David Bisbal,17-12-2023,17:00,Murcia,Plaza de Toros,13,Pop,David Bisbal
49,David Bisbal,21-2-2023,18:00,Murcia,Plaza de Toros,9,Pop,David Bisbal
50,David Bisbal,21-10-2023,12:00,Leon,Plaza de Toros,48,Pop,David Bisbal
51,David Bisbal,23-9-2023,13:00,Leon,Plaza de Toros,60,Pop,David Bisbal
52,David Bisbal,6-8-2023,04:00,Alicante,Palacio de Toros,5,Pop,David Bisbal
53,David Bisbal,6-2-2023,18:00,Almendralñejo,Campo de Futbol,57,Pop,David Bisbal
54,David Bisbal,13-5-2023,19:00,Madrid,WiZink Center,14,Pop,David Bisbal
55,David Bisbal,23-12-2023,00:00,Alicante,Palacio de Toros,39,Pop,David Bisbal
56,David Bisbal,7-6-2023,20:00,Leon,Plaza de Toros,15,Pop,David Bisbal
57,David Bisbal,7-5-2023,18:00,Mallorca,Trui Son Fusteret,0,Pop,David Bisbal
58,David Bisbal,2-12-2023,17:00,Madrid,WiZink Center,47,Pop,David Bisbal
59,David Bisbal,5-8-2023,21:00,Almendralñejo,Campo de Futbol,35,Pop,David Bisbal
